id	name	neighborhood	cuisine_type	pricing_tier	menu_tier	menu_price_range	menu_del_dia_confirmed	website	phone	address_full	postal_code	google_maps_rating	google_maps_review_count	notes	status	last_verified
1	Casa Jaime	Eixample	Spanish	mid-range	confirmed	14€	TRUE	http://www.casajaime.cat/	+34 931 89 32 22	C/ del Consell de Cent, 222	08011	4.5	500	Three-course menu with drink and bread. Arroz a la marinera, cod, tiramisu.	active	2026-03-22
2	La Flauta	Eixample	Mediterranean	mid-range	likely	15-18€	FALSE	https://laflautagroup.com	+34 933 23 70 38	C/ de Calabria, 117	08036	3.9	92	Two locations. Tapas and seafood specialist. Menú del día not confirmed online.	active	2026-03-22
3	Vivant	Eixample	Mediterranean	mid-range	confirmed	18.90€	TRUE	https://vivantbcn.com/	+34 932725879	C/ del Consell de Cent, 335	08007	4.4	1200	Spanish and Italian classics. Three-course meal with drink and bread.	active	2026-03-22
4	Ceviche 103	Eixample	Peruvian	mid-range	confirmed	16.90€	TRUE	https://www.ceviche103.com/	+34 932 09 88 35	C/ de Londres, 103	08036	4.3	815	Peruvian. Complete weekly menu including ceviche. Chicken, fish, or vegan options.	active	2026-03-22
5	Baldomero	Eixample	Mediterranean	mid-range	confirmed	18-22€	TRUE	https://casabaldomero.com/		Passatge de Mercader, 16	08008	4.5	800	Healthy combined dish menus. Vegetable dishes with protein option.	active	2026-03-22
6	Maur	Eixample	Catalan	mid-range	confirmed	13-15€	TRUE		+34 934 54 88 69	C/ de Muntaner, 121	08036	4.3	764	Traditional Catalan cuisine and wood-fired pizzas.	active	2026-03-22
7	Boro Bar	Eixample	Spanish	mid-range	confirmed	14.50€	TRUE	https://borobar.es/		C/ de la Diputació, 286	08009	4.5	600	Different menu each day. Mon-Fri. Check Instagram for daily menu.	active	2026-03-22
8	Franca	Eixample	Catalan	mid-range	confirmed	28€	TRUE	https://www.francabarcelona.com/	+34 937 21 41 09	C/ de Roger de Llúria, 46	08009	4.1	162	Playful take on Catalan tradition. Regularly changing lunch menu.	active	2026-03-22
9	Balthazar	Eixample	Mediterranean	mid-range	confirmed	19.60€	TRUE	https://www.andilana.com/balthazar/	+34 932 17 82 50	C/ del Rosselló, 189	08036	4.4	8091	Premium European cuisine with fresh local products.	active	2026-03-22
10	Claris 118	Eixample	Catalan	mid-range	confirmed	15-18€	TRUE	https://www.claris118.com/	+34 934 88 28 37	C/ de Pau Claris, 118	08009	4.7	902	Modernized Catalan food. Eight starters, eight mains, eight desserts to choose from.	active	2026-03-22
11	La Pubilla	Gràcia	Catalan	mid-range	confirmed	14.75€	TRUE	https://restaurantelapubilla.com/	+34 932 18 29 94	Plaça de la Llibertat, 23	08012	4.7	2881	One of Barcelona's best menú del día. Near Mercat de la Llibertat. Reservations recommended.	active	2026-03-22
12	Fonda Pepa	Gràcia	Catalan	mid-range	confirmed	16-19.90€	TRUE	https://fondapepa.cat/	+34 932 17 10 10	C/ de Ramón y Cajal, 2	08012	4.3	1500	Catalan classics with Latin American and French touches. Seasonal, local products.	active	2026-03-22
13	Casa Lopez	Gràcia	Spanish	mid-range	confirmed	8.50€	TRUE		+34 634 59 21 65	C/ del Topazi, 11	08012	4.5	400	Local favorite. Traditional Spanish and Catalan cuisine.	active	2026-03-22
14	El Far del Nord	Gràcia	Mediterranean	mid-range	confirmed	14€	TRUE	https://elfardelnord.com/	+34 937 37 98 55	C/ de la Providència, 88	08024	4.5	500	Good value and taste in Gràcia.	active	2026-03-22
15	Cafè Salambó	Gràcia	Mediterranean	mid-range	confirmed	13.90€	TRUE	https://www.cafesalambo.com/	+34 932 18 69 66	C/ de Torrijos, 51	08012	4.4	3509	Affordable menú del día in Gràcia.	active	2026-03-22
16	Casa Pages	Gràcia	Spanish	budget	confirmed	12-14€	TRUE		+34 934 573 545	C/ de la Llibertat, 19	08012	4.3	800	Traditional Galician home cooking. Great value set lunch.	active	2026-03-23
17	Kibuka Ramen	Gràcia	Japanese	mid-range	confirmed	13-15€	TRUE	https://kibuka.com/	+34 933682036	C/ de Torrijos, 15	08012	4.2	600	Starter, ramen of choice (incl. vegan), and dessert. Specializes in ramen. Part of Kibuka group.	active	2026-03-22
18	Cal Boter	Gràcia	Catalan	mid-range	confirmed	16.20€	TRUE	https://restaurantcalboter.com/	+34 934588462	C/ Major de Gràcia, 56	08012	4.4	1200	Local temple. Family-run. Famous for escalivada. Often bustling.	active	2026-03-22
19	La Trini	Gràcia	Mediterranean	budget	confirmed	12.50€	TRUE	https://latrini30.com	+34 932 37 03 35	C/ de Verdi, 30	08012	4.3	400	Good value on Carrer de Verdi.	active	2026-03-23
20	La Caceta	Gràcia	Mediterranean	budget	confirmed	10€	TRUE			C/ del Planet, 3	08012	4.2	300	Budget-friendly option on Torrent de l'Olla.	active	2026-03-22
